,programTitle,infoCat,region,url,description,organization,contact,page
0,['AgriInsurance'],[],[],['https://www.masc.mb.ca/masc.nsf/program_agriinsurance.html'],"['\nProvides insurance products for production losses caused by natural perils (weather, pests, or disease) for most crops grown in Manitoba, including cereals, oilseeds, special crops and forages.\n']",['\nManitoba Agricultural Services Corporation\n'],['\n\nmailbox@masc.mb.ca\n\n204-239-3246\n'],1
1,['AgriInsurance'],[],[],['https://www.gov.nl.ca/ffa/programs-and-funding/programs/prodinsur/'],['\nAgriInsurance is a part of the national Business Risk Management suite of programs designed to aid Canadian producers in managing the inherent risks of agricultural production.\n'],"['\nNewfoundland and Labrador, Department of Fisheries, Forestry and Agriculture\n']",['\n1-709-637-2591\n1-709-637-2077\n'],1
2,['AgriInsurance'],[],[' Across Canada '],['https://agriculture.canada.ca/en/agricultural-programs-and-services/agriinsurance-program'],"[""\nAgriInsurance is a federal-provincial-producer cost-shared program that stabilizes a producer's income by minimizing the economic effects of primarily production losses caused by severe but uncontrollable natural hazards.\n""]",['\nAgriculture and Agri-Food Canada\n'],['\n\naafc.agriinsurance-agri-protection.aac@agr.gc.ca\n\n1-613-773-2600\n'],1
3,['AgriInsurance (Production Insurance)'],[],[],['https://www.princeedwardisland.ca/en/information/agriculture-and-land/agriinsurance-production-insurance'],['\nProduction insurance provides production risk protection to producers by minimizing the economic effects of crop losses caused by natural hazards\n'],['\nPrince Edward Island Department of Agriculture and Fisheries\n'],['\n\nAICInsurance@gov.pe.ca\n\n1-902-836-8917\n1-855-251-9695\n1-866-734-3276\n'],1
4,['AgriInvest'],[],[],['https://www.fadq.qc.ca/en/agriinvest/description/'],"['\nReceive matching government contributions (to a maximum of $10,000) to your annual savings deposit. Amounts deposited into the AgriInvest account thereby become a reserve allowing you to better manage the risks facing your operation.\n']",['\nLa Financière agricole du Québec\n'],"['\nHead Office\n1400, boulevard Guillaume-Couture, Lévis QC, Canada G6W 8K7\n\nhttps://www.fadq.qc.ca/en/contact-us/#c1385\n\n1-418-833-3871\n1-418-838-5602\n1-800-749-3646\n']",1
5,['AgriInvest'],[],[],['http://www.gov.mb.ca/agriculture/canadian-agricultural-partnership/business-risk-management-programs/agri-invest.html'],['\nProvides coverage for small income declines and allows for investments that help mitigate risks or improve market income.\n'],['\nManitoba Agriculture and Resource Development\n'],['\nAgriInvest Administration\nP.O. Box 3200 Station Main Winnipeg MB R3C 5R7\n\nhttps://www.gov.mb.ca/agriculture/contact/\n\n1-877-949-4885\n1-866-367-8506\n613-773-2600\n'],1
6,['AgriInvest'],[],[' Across Canada '],['https://agriculture.canada.ca/en/agricultural-programs-and-services/agriinvest'],['\nAgriInvest is a self-managed producer-government savings account designed to help you manage small income declines and make investments to manage risk and improve market income.\n'],"['\nAgriculture and Agri-Food Canada\n', '\nContact AgriInvest Administration\n']","['\n1-877-949-4885\n1-866-367-8506\n1-613-773-2600\n', '\nCalling from outside of Canada:\n1-204-259-5642\n1-204-926-9650\n']",1
7,['AgriInvest Program'],[],[],['http://www2.gnb.ca/content/gnb/en/services/services_renderer.200588.AgriInvest_Program_.html'],['\nHelps producers protect their margin from small declines or provide funds for investment to reduce risks or improve profitability. The program is delivered by Agriculture and Agri-Food Canada for New Brunswick producers.\n'],"['\nNew Brunswick Agriculture, Aquaculture and Fisheries\n']",['\nIndustry Financial Programs (Branch)\n\nDAAF-MAAP@gnb.ca\n\n1-506-453-2185\n'],1
8,['AgriJobs'],['Guides/Information'],[' Across Canada '],['https://cahrc-ccrha.ca/programs/agrijobs'],['\nAgriJobs supports the agricultural industry and employers by building nationally validated job information to clarify skills requirements for agricultural positions.\n'],['\nCanadian Agricultural Human Resource Council\n'],"['\n202-1283 Algoma Road, Ottawa, ON K1B 3W7\n1-613-745-7457\n\ninfo@cahrc-ccrha.ca\n\n']",1
9,['AgriLMI'],['Guides/Information'],[' Across Canada '],['https://cahrc-ccrha.ca/programs/agrilmi'],"[""\nAgriLMI is a program focused on assessing the current agricultural labour market, projecting the future supply and demand for agricultural workers, and recommending potential solutions to the sector's labour issues.\n""]",['\nCanadian Agricultural Human Resource Council\n'],"['\n202-1283 Algoma Road, Ottawa, ON K1B 3W7\n1-613-745-7457\n\ninfo@cahrc-ccrha.ca\n\n']",1
10,['AgriMaps'],[],[],['https://www.gov.mb.ca/agriculture/land-management/land-map-viewers.html'],"['\nWelcome to AgriMaps, Manitoba Agriculture’s gateway to interactive maps and geographic information.\n']",['\nManitoba Agriculture\n'],['\n1-844-769-6224\n\nARD@gov.mb.ca\n\n'],1
11,['AgriMarketing Program'],[],[' Across Canada '],['https://agriculture.canada.ca/en/agricultural-programs-and-services/agrimarketing-program'],['\nThe AgriMarketing Program aims to increase and diversify exports to international markets and seize domestic market opportunities.\n'],['\nAgriculture and Agri-Food Canada\n'],['\n\naafc.agrimarketingagri-marketing.aac@agr.gc.ca\n\n1-877-246-4682\n1-613-773-2600\n'],1
